arquivo,mean,median,max,min,std,cv,mean_abs_diff,std_diff,max_diff,peak_count,peak_ratio,autocorr_lag1,autocorr_lag60,entropy,cluster
RestDistrito--19-05-2025--2025-05-25.json,715.45298078986,2875.13775,4050.2705,-13841.6625,3890.141940510172,5.437313205705643,504.3281489516772,1459.4047130956517,11170.800999999998,0.0,0.0,0.9296546428300374,0.6384748757222779,2.860480417015793,2
CentroCultural--06-10-2025--2025-10-10.json,745.5727534722223,680.2575,2515.4700000000003,190.9,269.7515894507125,0.361804516319094,19.370531619179985,72.8737704613915,1359.5300000000002,43.0,0.0298611111111111,0.9634971037849296,0.5117090784904995,2.986441813124342,0
Fellype--22-09-2025--2025-09-26.json,107.6390092583072,84.48733333333334,4789.831999999999,12.520833333333334,336.9553616590962,3.130420504433351,17.54250034746352,201.1541443598568,4197.404333333334,10.0,0.0069444444444444,0.8219260039944473,-0.0118131577461127,0.6936027339687549,2
Polpa1--18-08-2025--2025-08-18.json,45426.3064375,43394.43,201407.22,-174018.23,108536.48413940064,2.3892870156355563,8073.232272411397,17699.510565117875,147978.5,0.0,0.0,0.9867001758960346,0.8473602473857124,3.577232285371607,1
PlinioLemos--06-01-2025--2025-01-08.json,5973.060097222222,4728.99,18344.08,-3115.065,4724.438042424394,0.7909577277853773,376.7509763724809,907.969777585954,8935.05,53.0,0.0368055555555555,0.9815441153583918,0.7447661786510307,2.97121888808539,0
PDC--09-06-2025--2025-06-09.json,5113.910590277777,5578.1825,10255.71,236.52,4607.661235738634,0.901005434959776,26.897901320361346,101.32582927164547,1465.2400000000007,0.0,0.0,0.999758207728551,0.8547392812555774,1.5632021752780745,2
ISEA--22-09-2025--2025-09-25.json,88791.17439583332,90000.62,128490.36,62326.96,14754.64236381818,0.1661723979237126,4761.304989576095,6883.964484690343,21821.0,25.0,0.0173611111111111,0.891196789068446,0.7341376092150145,3.677883064081631,3
EvaldoIlum-data--03-11-2025--2025-11-05.json,10704.596145833337,10320.0,21921.73,0.0,10294.001163326026,0.9616431132091676,33.5092425295344,284.83356947071525,6527.19,0.0,0.0,0.9996171744890396,0.8819115895116382,1.5309971203050678,2
RC02--14-07-2025--2025-07-20.json,-9065.97396135128,-9450.191250000002,7165.0105,-21540.5865,4178.422527702906,-0.4608906385034569,854.2280923251787,1166.8745876057471,10177.945166666666,50.0,0.0347222222222222,0.9610126456229362,0.0084629700726593,3.3501714840100854,0
LSD--03-03-2025--2025-03-09.json,16338.340680857618,16129.04925,20312.553166666665,13678.321333333331,1234.3222635581492,0.0755475900318512,625.6576852941611,903.5251855978318,3353.987166666668,36.0,0.025,0.7321364151481923,0.2360132219055483,3.3369549540242542,0
PDC--09-06-2025--2025-06-14.json,5105.448569444445,7228.545,11557.315,171.035,4612.272254272969,0.9034019619503988,43.99568102849202,135.88006703046037,1497.0700000000015,0.0,0.0,0.9995660521739942,0.8539915379408373,1.5688039750378175,2
Fellype--22-09-2025--2025-09-23.json,147.3295130979938,128.13150000000002,4878.8645,12.906333333333333,204.18119747083924,1.385881166491275,11.42762620647054,135.85045223249526,3771.805666666667,5.0,0.0034722222222222,0.7788062508323554,0.1044137098940608,1.1322502491729984,2
ssmoveis--12-05-2025--2025-05-12.json,27222.49538194444,14110.0,114402.35,-13218.82,29290.97579508754,1.0759842323093949,5143.250333564976,12780.243893983425,79837.26999999999,87.0,0.0604166666666666,0.9048403470393828,0.3907013217819193,2.9738638835916555,0
EvaldoIlum-data--03-11-2025--2025-11-09.json,10682.53588888889,10389.35,22000.0,240.0,10294.339423645806,0.9636606448805052,34.73797776233495,323.68191570850183,8400.65,0.0,0.0,0.9995056653159474,0.875134306643436,1.503174651435391,2
